ProblemID,TAG
2.00E+04,divide and conquer
2.00E+04,dp
2.00E+04,greedy
2.00E+04,math 
2003D2,dfs and similar
2003D2,dp
2003D2,graphs
2003D2,greedy
2003D2,implementation
2003D2,math 
2003D1,greedy
2003D1,math 
2003C,constructive algorithms
2003C,greedy
2003C,sortings
2003C,strings 
2003B,games
2003B,greedy
2003B,sortings 
2003A,greedy
2003A,strings 
2002H,greedy 
2002G,bitmasks
2002G,brute force
2002G,hashing
2002G,meet-in-the-middle 
2002F2,brute force
2002F2,dp
2002F2,math
2002F2,number theory 
2002F1,brute force
2002F1,dfs and similar
2002F1,dp
2002F1,math
2002F1,number theory 
2002E,brute force
2002E,data structures
2002E,dp 
2002D2,binary search
2002D2,data structures
2002D2,dfs and similar
2002D2,graphs
2002D2,hashing
2002D2,trees 
2002D1,brute force
2002D1,data structures
2002D1,dfs and similar
2002D1,graphs
2002D1,hashing
2002D1,trees 
2002C,brute force
2002C,geometry
2002C,greedy
2002C,math 
2002B,constructive algorithms
2002B,games 
2002A,constructive algorithms
2002A,implementation
2002A,math 
2.00E+05,combinatorics
2.00E+05,dp
2.00E+05,trees 
2.00E+04,combinatorics
2.00E+04,dp
2.00E+04,math
2.00E+04,trees 
2001D,brute force
2001D,constructive algorithms
2001D,data structures
2001D,greedy
2001D,implementation 
2001C,binary search
2001C,brute force
2001C,dfs and similar
2001C,divide and conquer
2001C,dsu
2001C,greedy
2001C,interactive
2001C,trees 
2001B,constructive algorithms 
2001A,greedy
2001A,implementation 
2000H,binary search
2000H,brute force
2000H,data structures
2000H,implementation 
2000G,binary search
2000G,brute force
2000G,graphs
2000G,greedy
2000G,shortest paths 
2000F,dp
2000F,greedy
2000F,implementation
2000F,math 
2000E,combinatorics
2000E,data structures
2000E,greedy
2000E,math 
2000D,greedy
2000D,implementation
2000D,two pointers 
2000C,data structures
2000C,strings 
2000B,two pointers 
2000A,implementation
2000A,math
2000A,strings 
1999G2,binary search
1999G2,interactive
1999G2,ternary search 
1999G1,binary search
1999G1,interactive 
1999F,combinatorics
1999F,math 
1999E,dp
1999E,implementation
1999E,math 
1999D,greedy
1999D,implementation
1999D,strings 
1999C,greedy
1999C,implementation 
1999B,brute force
1999B,constructive algorithms
1999B,implementation 
1999A,implementation
1999A,math 
2.00E+05,binary search
2.00E+05,brute force
2.00E+05,data structures
2.00E+05,divide and conquer
2.00E+05,greedy
2.00E+05,implementation 
2.00E+04,binary search
2.00E+04,brute force
2.00E+04,data structures
2.00E+04,divide and conquer
2.00E+04,greedy 
1998D,data structures
1998D,dp
1998D,graphs
1998D,greedy
1998D,shortest paths 
1998C,binary search
1998C,brute force
1998C,constructive algorithms
1998C,greedy
1998C,implementation 
1998B,constructive algorithms
1998B,math
1998B,number theory 
1998A,constructive algorithms
1998A,implementation
1998A,math 
1997F,brute force
1997F,combinatorics
1997F,dp
1997F,greedy
1997F,math 
1997E,binary search
1997E,brute force
1997E,data structures
1997E,divide and conquer
1997E,implementation 
1997D,binary search
1997D,dfs and similar
1997D,dp
1997D,greedy
1997D,trees 
1997C,constructive algorithms
1997C,data structures
1997C,greedy 
1997B,constructive algorithms
1997B,two pointers 
1997A,brute force
1997A,implementation
1997A,strings 
1996G,brute force
1996G,data structures
1996G,graphs
1996G,greedy
1996G,hashing 
1996F,binary search
1996F,greedy
1996F,math 
1996E,combinatorics
1996E,data structures
1996E,implementation
1996E,math 
1996D,binary search
1996D,brute force
1996D,combinatorics
1996D,math
1996D,number theory 
1996C,dp
1996C,greedy
1996C,sortings
1996C,strings 
1996B,greedy
1996B,implementation 
1996A,binary search
1996A,math
1996A,ternary search 
2.00E+05,data structures
2.00E+05,dp
2.00E+05,matrices
2.00E+05,two pointers 
2.00E+04,2-sat
2.00E+04,data structures
2.00E+04,dp
2.00E+04,matrices
2.00E+04,two pointers 
1995D,bitmasks
1995D,brute force
1995D,dp
1995D,strings 
1995C,brute force
1995C,constructive algorithms
1995C,greedy
1995C,implementation
1995C,math
1995C,number theory 
1995B2,binary search
1995B2,data structures
1995B2,greedy
1995B2,math
1995B2,sortings
1995B2,two pointers 
1995B1,binary search
1995B1,brute force
1995B1,greedy
1995B1,sortings
1995B1,two pointers 
1995A,brute force
1995A,greedy
1995A,implementation
1995A,math 
1994H,combinatorics
1994H,constructive algorithms
1994H,games
1994H,greedy
1994H,hashing
1994H,interactive
1994H,math
1994H,number theory
1994H,strings 
1994G,bitmasks
1994G,brute force
1994G,dp
1994G,graphs
1994G,math 
1994F,constructive algorithms
1994F,dfs and similar
1994F,graphs
1994F,trees 
1994E,bitmasks
1994E,greedy
1994E,math
1994E,trees 
1994D,constructive algorithms
1994D,dsu
1994D,graphs
1994D,greedy
1994D,math
1994D,number theory
1994D,trees 
1994C,binary search
1994C,dp
1994C,two pointers 
1994B,bitmasks
1994B,constructive algorithms
1994B,greedy
1994B,math 
1994A,constructive algorithms
1994A,greedy
1994A,implementation 
1993F2,chinese remainder theorem
1993F2,math
1993F2,number theory 
1993F1,brute force
1993F1,chinese remainder theorem
1993F1,constructive algorithms
1993F1,math
1993F1,number theory 
1993E,bitmasks
1993E,constructive algorithms
1993E,dp
1993E,implementation 
1993D,binary search
1993D,dp
1993D,greedy 
1993C,implementation
1993C,math 
1993B,constructive algorithms
1993B,greedy 
1993A,greedy
1993A,implementation 
1992G,combinatorics
1992G,dp
1992G,math 
1992F,brute force
1992F,dp
1992F,greedy
1992F,number theory
1992F,two pointers 
1992E,brute force
1992E,constructive algorithms
1992E,implementation
1992E,math
1992E,strings 
1992D,dp
1992D,greedy
1992D,implementation 
1992C,constructive algorithms
1992C,math 
1992B,greedy
1992B,math
1992B,sortings 
1992A,brute force
1992A,constructive algorithms
1992A,greedy
1992A,math
1992A,sortings 
1991I,constructive algorithms
1991I,games
1991I,graph matchings
1991I,greedy
1991I,interactive 
1991H,bitmasks
1991H,dp
1991H,fft
1991H,games
1991H,math
1991H,number theory 
1991G,constructive algorithms
1991G,greedy
1991G,implementation 
1991F,brute force
1991F,greedy
1991F,implementation
1991F,math
1991F,sortings 
1991E,constructive algorithms
1991E,dfs and similar
1991E,games
1991E,graphs
1991E,greedy
1991E,interactive 
1991D,bitmasks
